Основы RegExp: Какой символ обозначает одно или более повторений?	"<b style=""color: blue;"">+</b> обозначает одно или более повторений."
Основы RegExp: Какой символ обозначает ноль или одно повторение?	"<b style=""color: blue;"">?</b> обозначает ноль или одно повторение."
Основы RegExp: Какой символ обозначает альтернативу?	"<b style=""color: blue;"">|</b> обозначает альтернативу."
Основы RegExp: Какой символ обозначает группу?	"<b style=""color: blue;"">()</b> обозначает группу."
Основы RegExp: Какой символ обозначает набор символов?	"<b style=""color: blue;"">[]</b> обозначает набор символов."
Основы RegExp: Какой символ обозначает отрицание набора символов?	"<b style=""color: blue;"">[^]</b> обозначает отрицание набора символов."
Основы RegExp: Какой символ обозначает экранирование?	"<b style=""color: blue;"">\</b> обозначает экранирование."
Основы RegExp: Какой символ обозначает границу слова?	"<b style=""color: blue;"">\b</b> обозначает границу слова."
Основы RegExp: Какой символ обозначает цифру?	"<b style=""color: blue;"">\d</b> обозначает цифру."
Основы RegExp: Какой символ обозначает не цифру?	"<b style=""color: blue;"">\D</b> обозначает не цифру."
Основы RegExp: Какой символ обозначает пробельный символ?	"<b style=""color: blue;"">\s</b> обозначает пробельный символ."
Основы RegExp: Какой символ обозначает не пробельный символ?	"<b style=""color: blue;"">\S</b> обозначает не пробельный символ."
Основы RegExp: Какой символ обозначает букву, цифру или подчеркивание?	"<b style=""color: blue;"">\w</b> обозначает букву, цифру или подчеркивание."
Основы RegExp: Какой символ обозначает не букву, цифру или подчеркивание?	"<b style=""color: blue;"">\W</b> обозначает не букву, цифру или подчеркивание."
Основы RegExp: Какой символ обозначает начало строки?	"<b style=""color: blue;"">\A</b> обозначает начало строки."
Основы RegExp: Какой символ обозначает конец строки?	"<b style=""color: blue;"">\Z</b> обозначает конец строки."
Основы RegExp: Какой символ обозначает границу слова?	"<b style=""color: blue;"">\B</b> обозначает не границу слова."
Основы RegExp: Какой символ обозначает начало слова?	"<b style=""color: blue;"">\<</b> обозначает начало слова."
Основы RegExp: Какой символ обозначает конец слова?	"<b style=""color: blue;"">\></b> обозначает конец слова."
Основы RegExp: Какой символ обозначает повторение n раз?	"<b style=""color: blue;"">{n}</b> обозначает повторение n раз."
Основы RegExp: Какой символ обозначает повторение от n до m раз?	"<b style=""color: blue;"">{n,m}</b> обозначает повторение от n до m раз."
Основы RegExp: Какой символ обозначает повторение от n и более раз?	"<b style=""color: blue;"">{n,}</b> обозначает повторение от n и более раз."
Основы RegExp: Какой символ обозначает ленивое совпадение?	"<b style=""color: blue;"">?</b> после квантификатора делает его ленивым."
Основы RegExp: Какой символ обозначает жадное совпадение?	"<b style=""color: blue;"">*</b> и <b style=""color: blue;"">+</b> по умолчанию жадные."
Основы RegExp: Какой символ обозначает положительный просмотр вперед?	"<b style=""color: blue;"">(?=)</b> обозначает положительный просмотр вперед."
Основы RegExp: Какой символ обозначает отрицательный просмотр вперед?	"<b style=""color: blue;"">(?!)</b> обозначает отрицательный просмотр вперед."
Основы RegExp: Какой символ обозначает положительный просмотр назад?	"<b style=""color: blue;"">(?<=)</b> обозначает положительный просмотр назад."
Основы RegExp: Какой символ обозначает отрицательный просмотр назад?	"<b style=""color: blue;"">(?<!)</b> обозначает отрицательный просмотр назад."
Основы RegExp: Какой символ обозначает именованную группу?	"<b style=""color: blue;"">(?P<name>)</b> обозначает именованную группу."
Основы RegExp: Какой символ обозначает ссылку на именованную группу?	"<b style=""color: blue;"">(?P=name)</b> обозначает ссылку на именованную группу."
Основы RegExp: Какой символ обозначает несохраняющую группу?	"<b style=""color: blue;"">(?:)</b> обозначает несохраняющую группу."
Основы RegExp: Какой символ обозначает комментарий?	"<b style=""color: blue;"">(?#)</b> обозначает комментарий."
Основы RegExp: Какой символ обозначает модификатор игнорирования регистра?	"<b style=""color: blue;"">i</b> обозначает модификатор игнорирования регистра."
Основы RegExp: Какой символ обозначает модификатор многострочного режима?	"<b style=""color: blue;"">m</b> обозначает модификатор многострочного режима."
Основы RegExp: Какой символ обозначает модификатор однострочного режима?	"<b style=""color: blue;"">s</b> обозначает модификатор однострочного режима."
Основы RegExp: Какой символ обозначает модификатор глобального поиска?	"<b style=""color: blue;"">g</b> обозначает модификатор глобального поиска."
Основы RegExp: Какой символ обозначает модификатор многострочного и однострочного режима?	"<b style=""color: blue;"">ms</b> обозначает модификатор многострочного и однострочного режима."
